2.2080000 12.0000000      0.1291800 6.4590000 2.1600000 0.4000000   0.1748877 0.0000000    2147483647 0    0.1291800 0.1291800 0.1291800   0.1291800 0.1291800 0.1291800   0.1291800 0.1291800 0.1291800    0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000    1.0000000 1.0000000 1.0000000   1.0000000 1.0000000 1.0000000   1.0000000 1.0000000 1.0000000    6.4590000 6.4590000 6.4590000    6.4590000 6.4590000 6.4590000    6.4590000 6.4590000 6.4590000     0.0100000 0.0100000 0.0100000    0.0100000 0.0100000 0.0100000    0.0100000 0.0100000 0.0100000       0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000                       1.1223050   0.7810807 1.0000000   0.0000000 0.0000000    1.1223050 0.1283458    0.0112231 1.0202312   1.1223050 0.0112231   0.2186751 1.0000000
2.2180000 12.0000000      0.1623800 4.2890000 2.2000000 0.4000000   0.2602994 0.0491938    2147483647 0    0.1457800 0.1291800 0.1623800   0.1457800 0.1291800 0.1623800   0.1457800 0.1291800 0.1623800    0.0245969 0.0000000 0.0491938    0.0245969 0.0000000 0.0491938    0.0245969 0.0000000 0.0491938    0.8730755 0.7461510 1.0000000   0.8730755 0.7461510 1.0000000   0.8730755 0.7461510 1.0000000    5.3740000 4.2890000 6.4590000    5.3740000 4.2890000 6.4590000    5.3740000 4.2890000 6.4590000     0.0140000 0.0100000 0.0180000    0.0140000 0.0100000 0.0180000    0.0140000 0.0100000 0.0180000       0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000                       5.5620661   0.8339386 0.7461510   0.0000000 0.5177472    4.9559309 0.3314349    0.0556207 0.5223549   4.9559309 0.0556207   4.0075277 1.8000000
2.2280000 12.0000000      0.1556900 1.5800000 2.1600000 0.4000000   0.3917939 0.0957038    2147483647 0    0.1490833 0.1291800 0.1623800   0.1490833 0.1291800 0.1623800   0.1490833 0.1291800 0.1623800    0.0482992 0.0000000 0.0957038    0.0482992 0.0000000 0.0957038    0.0482992 0.0000000 0.0957038    0.8414547 0.7461510 1.0000000   0.8414547 0.7461510 1.0000000   0.8414547 0.7461510 1.0000000    4.1093333 1.5800000 6.4590000    4.1093333 1.5800000 6.4590000    4.1093333 1.5800000 6.4590000     0.0183333 0.0100000 0.0270000    0.0183333 0.0100000 0.0270000    0.0183333 0.0100000 0.0270000       0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000                       6.6741507   0.8313800 0.7782131   0.0000000 0.4705882    1.1999409 0.2651349    0.0667415 0.4185422   1.1999409 0.0667415   6.0182202 1.5000000
2.2390000 12.0000000      0.1719600 2.3880000 2.2000000 0.4000000   0.4860790 0.0989478    2147483647 0    0.1548025 0.1291800 0.1719600   0.1548025 0.1291800 0.1719600   0.1548025 0.1291800 0.1719600    0.0609614 0.0000000 0.0989478    0.0609614 0.0000000 0.0989478    0.0609614 0.0000000 0.0989478    0.8072366 0.7045825 1.0000000   0.8072366 0.7045825 1.0000000   0.8072366 0.7045825 1.0000000    3.6790000 1.5800000 6.4590000    3.6790000 1.5800000 6.4590000    3.6790000 1.5800000 6.4590000     0.0225000 0.0100000 0.0350000    0.0225000 0.0100000 0.0350000    0.0225000 0.0100000 0.0350000       0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000                       7.7895774   0.8315451 0.7045825   0.0000000 0.5555558    1.1671264 0.2258119    0.0778958 0.3640677   1.1671264 0.0778958   7.4222766 1.3703704
2.2490000 12.0000000      0.1952800 1.7420000 2.2000000 0.4000000   0.2568324 0.1161325    17 3    0.1628980 0.1291800 0.1952800   0.1628980 0.1291800 0.1952800   0.1628980 0.1291800 0.1952800    0.0719956 0.0000000 0.1161325    0.0719956 0.0000000 0.1161325    0.0719956 0.0000000 0.1161325    0.7698778 0.6204424 1.0000000   0.7698778 0.6204424 1.0000000   0.7698778 0.6204424 1.0000000    3.2916000 1.5800000 6.4590000    3.2916000 1.5800000 6.4590000    3.2916000 1.5800000 6.4590000     0.0254000 0.0100000 0.0370000    0.0254000 0.0100000 0.0370000    0.0254000 0.0100000 0.0370000       0.0020000 0.0000000 0.0100000    0.0020000 0.0000000 0.0100000    0.0020000 0.0000000 0.0100000                       8.2358320   0.8319577 0.6204424   0.0022259 0.3886961    1.0858640 0.2668364    0.0845842 0.3537442   1.0858640 0.0845842   6.9166456 0.9189189
2.2590000 12.0000000      0.2085800 1.3690000 2.2400000 0.4000000   0.2404484 0.1112209    17 3    0.1705117 0.1291800 0.2085800   0.1705117 0.1291800 0.2085800   0.1705117 0.1291800 0.2085800    0.0785331 0.0000000 0.1161325    0.0785331 0.0000000 0.1161325    0.0785331 0.0000000 0.1161325    0.7383782 0.5808802 1.0000000   0.7383782 0.5808802 1.0000000   0.7383782 0.5808802 1.0000000    2.9711667 1.3690000 6.4590000    2.9711667 1.3690000 6.4590000    2.9711667 1.3690000 6.4590000     0.0273333 0.0100000 0.0370000    0.0273333 0.0100000 0.0370000    0.0273333 0.0100000 0.0370000       0.0183333 0.0000000 0.1000000    0.0183333 0.0000000 0.1000000    0.0183333 0.0000000 0.1000000                       6.8608950   0.8313800 0.5808802   0.0185430 0.0000000    1.0303566 0.4673922    0.0871519 0.3605838   1.0303566 0.0871519   2.5278409 0.5882353
2.2690000 12.0000000      0.1803400 1.6760000 2.2000000 0.4000000   0.2405153 0.0728371    17 3    0.1719157 0.1291800 0.2085800   0.1719157 0.1291800 0.2085800   0.1719157 0.1291800 0.2085800    0.0777194 0.0000000 0.1161325    0.0777194 0.0000000 0.1161325    0.0777194 0.0000000 0.1161325    0.7288730 0.5808802 1.0000000   0.7288730 0.5808802 1.0000000   0.7288730 0.5808802 1.0000000    2.7861429 1.3690000 6.4590000    2.7861429 1.3690000 6.4590000    2.7861429 1.3690000 6.4590000     0.0281429 0.0100000 0.0370000    0.0281429 0.0100000 0.0370000    0.0281429 0.0100000 0.0370000       0.0357143 0.0000000 0.1400000    0.0357143 0.0000000 0.1400000    0.0357143 0.0000000 0.1400000                       6.9920657   0.8336085 0.6718421   0.0222475 0.3879264    1.0575573 0.5815224    0.0921681 0.3065559   1.0575573 0.0921681   2.6508971 0.8500000
2.2790000 12.0000000      0.1470400 2.0110000 2.1600000 0.4000000   0.2028031 0.0757019    17 3    0.1688062 0.1291800 0.2085800   0.1688062 0.1291800 0.2085800   0.1688062 0.1291800 0.2085800    0.0774672 0.0000000 0.1161325    0.0774672 0.0000000 0.1161325    0.0774672 0.0000000 0.1161325    0.7397770 0.5808802 1.0000000   0.7397770 0.5808802 1.0000000   0.7397770 0.5808802 1.0000000    2.6892500 1.3690000 6.4590000    2.6892500 1.3690000 6.4590000    2.6892500 1.3690000 6.4590000     0.0275000 0.0100000 0.0370000    0.0275000 0.0100000 0.0370000    0.0275000 0.0100000 0.0370000       0.0387500 0.0000000 0.1400000    0.0387500 0.0000000 0.1400000    0.0387500 0.0000000 0.1400000                       7.2315761   0.8395000 0.8161045   0.0194696 1.0000996    0.9958473 0.5759549    0.0917854 0.2755464   1.0000000 0.0921681   4.8484614 1.0000000
2.2890000 12.0000000      0.1725600 2.6310000 2.2000000 0.4000000   0.1335352 0.1021773    17 0    0.1692233 0.1291800 0.2085800   0.1692233 0.1291800 0.2085800   0.1692233 0.1291800 0.2085800    0.0802128 0.0000000 0.1161325    0.0802128 0.0000000 0.1161325    0.0802128 0.0000000 0.1161325    0.7348473 0.5808802 1.0000000   0.7348473 0.5808802 1.0000000   0.7348473 0.5808802 1.0000000    2.6827778 1.3690000 6.4590000    2.6827778 1.3690000 6.4590000    2.6827778 1.3690000 6.4590000     0.0263333 0.0100000 0.0370000    0.0263333 0.0100000 0.0370000    0.0263333 0.0100000 0.0370000       0.0344444 0.0000000 0.1400000    0.0344444 0.0000000 0.1400000    0.0344444 0.0000000 0.1400000                       7.6619916   0.8396667 0.6954103   0.0173013 0.8888010    1.0232695 0.5869096    0.0939212 0.2398220   1.0190201 0.0939212   4.2481619 1.0000000
2.3000000 12.0000000      0.1697300 0.6020000 2.2000000 0.4000000   0.1357666 0.1112648    17 0    0.1692740 0.1291800 0.2085800   0.1692740 0.1291800 0.2085800   0.1692740 0.1291800 0.2085800    0.0833180 0.0000000 0.1161325    0.0833180 0.0000000 0.1161325    0.0833180 0.0000000 0.1161325    0.7320631 0.5808802 1.0000000   0.7320631 0.5808802 1.0000000   0.7320631 0.5808802 1.0000000    2.4747000 0.6020000 6.4590000    2.4747000 0.6020000 6.4590000    2.4747000 0.6020000 6.4590000     0.0254000 0.0100000 0.0370000    0.0254000 0.0100000 0.0370000    0.0254000 0.0100000 0.0370000       0.0310000 0.0000000 0.1400000    0.0310000 0.0000000 0.1400000    0.0310000 0.0000000 0.1400000                       8.0085076   0.8405000 0.7070052   0.0155721 0.5549499    1.0184835 0.5977577    0.0956572 0.2120123   1.0184835 0.0956572   5.1085110 1.0000000
2.3100000 12.0000000      0.1654300 0.5640000 2.2000000 0.4000000   0.1392945 0.1081870    17 0    0.1728990 0.1470400 0.2085800   0.1689245 0.1291800 0.2085800   0.1689245 0.1291800 0.2085800    0.0941367 0.0491938 0.1161325    0.0855788 0.0000000 0.1161325    0.0855788 0.0000000 0.1161325    0.7046014 0.5808802 0.8161045   0.7314558 0.5808802 1.0000000   0.7314558 0.5808802 1.0000000    1.8852000 0.5640000 4.2890000    2.3010000 0.5640000 6.4590000    2.3010000 0.5640000 6.4590000     0.0261000 0.0170000 0.0370000    0.0246364 0.0100000 0.0370000    0.0246364 0.0100000 0.0370000       0.0310000 0.0000000 0.1400000    0.0281818 0.0000000 0.1400000    0.0281818 0.0000000 0.1400000                       8.2896776   0.8384167 0.7253823   0.0141531 0.5563288    1.0145594 0.6064607    0.0970499 0.1897970   1.0145594 0.0970499   5.9512733 1.0000000
