2.1960000 12.0000000      0.1300000 6.5000000 2.1600000 0.4000000   0.1737846 0.0000000    2147483647 0    0.1300000 0.1300000 0.1300000   0.1300000 0.1300000 0.1300000   0.1300000 0.1300000 0.1300000    0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000    1.0000000 1.0000000 1.0000000   1.0000000 1.0000000 1.0000000   1.0000000 1.0000000 1.0000000    6.5000000 6.5000000 6.5000000    6.5000000 6.5000000 6.5000000    6.5000000 6.5000000 6.5000000     0.0100000 0.0100000 0.0100000    0.0100000 0.0100000 0.0100000    0.0100000 0.0100000 0.0100000       0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000                       1.1221935   0.7763846 1.0000000   0.0000000 0.0000000    1.1221935 0.1291476    0.0112219 1.0202312   1.1221935 0.0112219   0.2186316 1.0000000
2.2070000 12.0000000      0.1662100 3.9480000 2.2000000 0.4000000   0.2582545 0.0505313    2147483647 0    0.1481050 0.1300000 0.1662100   0.1481050 0.1300000 0.1662100   0.1481050 0.1300000 0.1662100    0.0252656 0.0000000 0.0505313    0.0252656 0.0000000 0.0505313    0.0252656 0.0000000 0.0505313    0.8910715 0.7821431 1.0000000   0.8910715 0.7821431 1.0000000   0.8910715 0.7821431 1.0000000    5.2240000 3.9480000 6.5000000    5.2240000 3.9480000 6.5000000    5.2240000 3.9480000 6.5000000     0.0140000 0.0100000 0.0180000    0.0140000 0.0100000 0.0180000    0.0140000 0.0100000 0.0180000       0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000                       5.5711186   0.7749231 0.7821431   0.0000000 0.5177472    4.9644900 0.3374485    0.0557112 0.5223549   4.9644900 0.0557112   4.2145239 1.9000000
2.2170000 12.0000000      0.1587000 3.4200000 2.1600000 0.4000000   0.3274202 0.0885645    2147483647 0    0.1516367 0.1300000 0.1662100   0.1516367 0.1300000 0.1662100   0.1516367 0.1300000 0.1662100    0.0463653 0.0000000 0.0885645    0.0463653 0.0000000 0.0885645    0.0463653 0.0000000 0.0885645    0.8448563 0.7524260 1.0000000   0.8448563 0.7524260 1.0000000   0.8448563 0.7524260 1.0000000    4.6226667 3.4200000 6.5000000    4.6226667 3.4200000 6.5000000    4.6226667 3.4200000 6.5000000     0.0170000 0.0100000 0.0230000    0.0170000 0.0100000 0.0230000    0.0170000 0.0100000 0.0230000       0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000                       5.1976599   0.8437317 0.7524260   0.0000000 0.2352708    0.9329652 0.2560534    0.0519766 0.4748378   1.0000000 0.0557112   3.5290434 1.2105263
2.2270000 12.0000000      0.1711900 2.1450000 2.2000000 0.4000000   0.4486794 0.0973645    2147483647 0    0.1565250 0.1300000 0.1711900   0.1565250 0.1300000 0.1711900   0.1565250 0.1300000 0.1711900    0.0591151 0.0000000 0.0973645    0.0591151 0.0000000 0.0973645    0.0591151 0.0000000 0.0973645    0.8080245 0.6975291 1.0000000   0.8080245 0.6975291 1.0000000   0.8080245 0.6975291 1.0000000    4.0032500 2.1450000 6.5000000    4.0032500 2.1450000 6.5000000    4.0032500 2.1450000 6.5000000     0.0207500 0.0100000 0.0320000    0.0207500 0.0100000 0.0320000    0.0207500 0.0100000 0.0320000       0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000                       6.9599507   0.8444016 0.6975291   0.0000000 0.5500001    1.3390547 0.2163930    0.0695995 0.3718525   1.2492914 0.0695995   5.8661363 1.4782609
2.2370000 12.0000000      0.2079200 1.7160000 2.2400000 0.4000000   0.2412102 0.1185988    37 0    0.1668040 0.1300000 0.2079200   0.1668040 0.1300000 0.2079200   0.1668040 0.1300000 0.2079200    0.0710118 0.0000000 0.1185988    0.0710118 0.0000000 0.1185988    0.0710118 0.0000000 0.1185988    0.7612811 0.5743074 1.0000000   0.7612811 0.5743074 1.0000000   0.7612811 0.5743074 1.0000000    3.5458000 1.7160000 6.5000000    3.5458000 1.7160000 6.5000000    3.5458000 1.7160000 6.5000000     0.0238000 0.0100000 0.0360000    0.0238000 0.0100000 0.0360000    0.0238000 0.0100000 0.0360000       0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000                       8.0189304   0.8434804 0.5743074   0.0000000 0.5506008    1.1521533 0.2291030    0.0801893 0.3361441   1.1521533 0.0801893   6.4114290 1.0882353
2.2470000 12.0000000      0.2332500 3.4830000 2.2400000 0.4000000   0.2150154 0.1107330    37 0    0.1778783 0.1300000 0.2332500   0.1778783 0.1300000 0.2332500   0.1778783 0.1300000 0.2332500    0.0776320 0.0000000 0.1185988    0.0776320 0.0000000 0.1185988    0.0776320 0.0000000 0.1185988    0.7197242 0.5119400 1.0000000   0.7197242 0.5119400 1.0000000   0.7197242 0.5119400 1.0000000    3.5353333 1.7160000 6.5000000    3.5353333 1.7160000 6.5000000    3.5353333 1.7160000 6.5000000     0.0260000 0.0100000 0.0370000    0.0260000 0.0100000 0.0370000    0.0260000 0.0100000 0.0370000       0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000                       8.3529702   0.8436479 0.5119400   0.0000000 0.4504021    1.0416564 0.2386466    0.0835297 0.3217754   1.0416564 0.0835297   6.2012383 1.0000000
2.2570000 12.0000000      0.2719800 3.6170000 2.2800000 0.4000000   0.1843990 0.1119080    37 0    0.1913214 0.1300000 0.2719800   0.1913214 0.1300000 0.2719800   0.1913214 0.1300000 0.2719800    0.0825286 0.0000000 0.1185988    0.0825286 0.0000000 0.1185988    0.0825286 0.0000000 0.1185988    0.6796264 0.4390396 1.0000000   0.6796264 0.4390396 1.0000000   0.6796264 0.4390396 1.0000000    3.5470000 1.7160000 6.5000000    3.5470000 1.7160000 6.5000000    3.5470000 1.7160000 6.5000000     0.0274286 0.0100000 0.0370000    0.0274286 0.0100000 0.0370000    0.0274286 0.0100000 0.0370000       0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000                       8.7486974   0.8452391 0.4390396   0.0000000 0.4995047    1.0473756 0.2499526    0.0874870 0.3054338   1.0473756 0.0874870   5.8340217 1.0000000
2.2670000 12.0000000      0.3348700 4.2910000 2.3600000 0.4000000   0.1497711 0.1139734    37 0    0.2092650 0.1300000 0.3348700   0.2092650 0.1300000 0.3348700   0.2092650 0.1300000 0.3348700    0.0864592 0.0000000 0.1185988    0.0864592 0.0000000 0.1185988    0.0864592 0.0000000 0.1185988    0.6392464 0.3565861 1.0000000   0.6392464 0.3565861 1.0000000   0.6392464 0.3565861 1.0000000    3.6400000 1.7160000 6.5000000    3.6400000 1.7160000 6.5000000    3.6400000 1.7160000 6.5000000     0.0285000 0.0100000 0.0370000    0.0285000 0.0100000 0.0370000    0.0285000 0.0100000 0.0370000       0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000                       9.3244955   0.8435642 0.3565861   0.0000000 0.6005958    1.0658153 0.2664033    0.0932450 0.2799560   1.0658153 0.0932450   5.3826068 1.0000000
2.2780000 12.0000000      0.3553900 2.6990000 2.3600000 0.4000000   0.1373098 0.1114309    36 0    0.2255011 0.1300000 0.3553900   0.2255011 0.1300000 0.3553900   0.2255011 0.1300000 0.3553900    0.0892338 0.0000000 0.1185988    0.0892338 0.0000000 0.1185988    0.0892338 0.0000000 0.1185988    0.6055520 0.3359971 1.0000000   0.6055520 0.3359971 1.0000000   0.6055520 0.3359971 1.0000000    3.5354444 1.7160000 6.5000000    3.5354444 1.7160000 6.5000000    3.5354444 1.7160000 6.5000000     0.0292222 0.0100000 0.0370000    0.0292222 0.0100000 0.0370000    0.0292222 0.0100000 0.0370000       0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000                       9.2780796   0.8441504 0.3359971   0.0000000 0.4001192    0.9950222 0.2738034    0.0927808 0.2685773   1.0000000 0.0932450   5.0214506 0.9729730
2.2880000 12.0000000      0.3633600 1.0000000 2.4000000 0.4000000   0.1342962 0.1130150    36 0    0.2392870 0.1300000 0.3633600   0.2392870 0.1300000 0.3633600   0.2392870 0.1300000 0.3633600    0.0916119 0.0000000 0.1185988    0.0916119 0.0000000 0.1185988    0.0916119 0.0000000 0.1185988    0.5778596 0.3286273 1.0000000   0.5778596 0.3286273 1.0000000   0.5778596 0.3286273 1.0000000    3.2819000 1.0000000 6.5000000    3.2819000 1.0000000 6.5000000    3.2819000 1.0000000 6.5000000     0.0298000 0.0100000 0.0370000    0.0298000 0.0100000 0.0370000    0.0298000 0.0100000 0.0370000       0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000                       9.6859120   0.8439829 0.3286273   0.0000000 0.6002978    1.0439566 0.2844160    0.0968591 0.2466818   1.0387599 0.0968591   5.3525673 1.0000000
2.2980000 12.0000000      0.3649700 1.0660000 2.4000000 0.4000000   0.1337029 0.1147643    36 0    0.2627840 0.1587000 0.3649700   0.2507127 0.1300000 0.3649700   0.2507127 0.1300000 0.3649700    0.1030884 0.0505313 0.1185988    0.0937167 0.0000000 0.1185988    0.0937167 0.0000000 0.1185988    0.5105773 0.3271776 0.7821431   0.5550703 0.3271776 1.0000000   0.5550703 0.3271776 1.0000000    2.7385000 1.0000000 4.2910000    3.0804545 1.0000000 6.5000000    3.0804545 1.0000000 6.5000000     0.0323000 0.0180000 0.0370000    0.0302727 0.0100000 0.0370000    0.0302727 0.0100000 0.0370000       0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000                       9.8127564   0.8438154 0.3271776   0.0000000 0.5003475    1.0130958 0.2881406    0.0981276 0.2314394   1.0130958 0.0981276   5.4694427 1.0000000
