2.2040000 12.0000000      0.1341500 6.7070000 2.1600000 0.4000000   0.1684085 0.0000000    2147483647 0    0.1341500 0.1341500 0.1341500   0.1341500 0.1341500 0.1341500   0.1341500 0.1341500 0.1341500    0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000    1.0000000 1.0000000 1.0000000   1.0000000 1.0000000 1.0000000   1.0000000 1.0000000 1.0000000    6.7070000 6.7070000 6.7070000    6.7070000 6.7070000 6.7070000    6.7070000 6.7070000 6.7070000     0.0100000 0.0100000 0.0100000    0.0100000 0.0100000 0.0100000    0.0100000 0.0100000 0.0100000       0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000                       1.1228628   0.7510250 1.0000000   0.0000000 0.0000000    1.1228628 0.1333499    0.0112286 1.0202312   1.1228628 0.0112286   0.2188925 1.0000000
2.2140000 12.0000000      0.1624200 4.1630000 2.2000000 0.4000000   0.2364507 0.0398830    2147483647 0    0.1482850 0.1341500 0.1624200   0.1482850 0.1341500 0.1624200   0.1482850 0.1341500 0.1624200    0.0199415 0.0000000 0.0398830    0.0199415 0.0000000 0.0398830    0.0199415 0.0000000 0.0398830    0.9129725 0.8259451 1.0000000   0.9129725 0.8259451 1.0000000   0.9129725 0.8259451 1.0000000    5.4350000 4.1630000 6.7070000    5.4350000 4.1630000 6.7070000    5.4350000 4.1630000 6.7070000     0.0135000 0.0100000 0.0170000    0.0135000 0.0100000 0.0170000    0.0135000 0.0100000 0.0170000       0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000                       4.4707861   0.7516213 0.8259451   0.0000000 0.4858358    3.9815960 0.3123208    0.0447079 0.5671864   3.9815960 0.0447079   3.4701265 1.7000000
2.2240000 12.0000000      0.1702000 4.7230000 2.2000000 0.4000000   0.2920234 0.0804402    2147483647 0    0.1555900 0.1341500 0.1702000   0.1555900 0.1341500 0.1702000   0.1555900 0.1341500 0.1702000    0.0401077 0.0000000 0.0804402    0.0401077 0.0000000 0.0804402    0.0401077 0.0000000 0.0804402    0.8649155 0.7688014 1.0000000   0.8649155 0.7688014 1.0000000   0.8649155 0.7688014 1.0000000    5.1976667 4.1630000 6.7070000    5.1976667 4.1630000 6.7070000    5.1976667 4.1630000 6.7070000     0.0163333 0.0100000 0.0220000    0.0163333 0.0100000 0.0220000    0.0163333 0.0100000 0.0220000       0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000                       4.8381655   0.7705770 0.7688014   0.0000000 0.3571430    1.0821733 0.2547458    0.0483817 0.4831964   1.0821733 0.0483817   3.1243029 1.2941176
2.2340000 12.0000000      0.1733700 1.5200000 2.2000000 0.4000000   0.4169828 0.0915118    2147483647 0    0.1600350 0.1341500 0.1733700   0.1600350 0.1341500 0.1733700   0.1600350 0.1341500 0.1733700    0.0529587 0.0000000 0.0915118    0.0529587 0.0000000 0.0915118    0.0529587 0.0000000 0.0915118    0.8373727 0.7547442 1.0000000   0.8373727 0.7547442 1.0000000   0.8373727 0.7547442 1.0000000    4.2782500 1.5200000 6.7070000    4.2782500 1.5200000 6.7070000    4.2782500 1.5200000 6.7070000     0.0197500 0.0100000 0.0300000    0.0197500 0.0100000 0.0300000    0.0197500 0.0100000 0.0300000       0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000                       6.4148540   0.7719526 0.7547442   0.0000000 0.5555557    1.3258856 0.2322126    0.0641485 0.3812616   1.3258856 0.0641485   5.3920119 1.4545455
2.2450000 12.0000000      0.2022800 2.4490000 2.2400000 0.4000000   0.4802382 0.1096750    2147483647 0    0.1684840 0.1341500 0.2022800   0.1684840 0.1341500 0.2022800   0.1684840 0.1341500 0.2022800    0.0643020 0.0000000 0.1096750    0.0643020 0.0000000 0.1096750    0.0643020 0.0000000 0.1096750    0.7992733 0.6468756 1.0000000   0.7992733 0.6468756 1.0000000   0.7992733 0.6468756 1.0000000    3.9124000 1.5200000 6.7070000    3.9124000 1.5200000 6.7070000    3.9124000 1.5200000 6.7070000     0.0240000 0.0100000 0.0410000    0.0240000 0.0100000 0.0410000    0.0240000 0.0100000 0.0410000       0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000                       7.5828545   0.7718762 0.6468756   0.0000000 0.5000001    1.1820775 0.2042741    0.0758285 0.3251958   1.1820775 0.0758285   6.4574901 1.3437500
2.2550000 12.0000000      0.2346300 3.2570000 2.2400000 0.4000000   0.5103197 0.1099902    2147483647 0    0.1795083 0.1341500 0.2346300   0.1795083 0.1341500 0.2346300   0.1795083 0.1341500 0.2346300    0.0719167 0.0000000 0.1099902    0.0719167 0.0000000 0.1099902    0.0719167 0.0000000 0.1099902    0.7590088 0.5576866 1.0000000   0.7590088 0.5576866 1.0000000   0.7590088 0.5576866 1.0000000    3.8031667 1.5200000 6.7070000    3.8031667 1.5200000 6.7070000    3.8031667 1.5200000 6.7070000     0.0285000 0.0100000 0.0510000    0.0285000 0.0100000 0.0510000    0.0285000 0.0100000 0.0510000       0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000                       8.1751402   0.7717998 0.5576866   0.0000000 0.4545905    1.0781085 0.1786769    0.0817514 0.3038324   1.0781085 0.0817514   6.4708022 1.2325581
2.2650000 12.0000000      0.2744500 3.7590000 2.2800000 0.4000000   0.5103676 0.1118380    2147483647 0    0.1930714 0.1341500 0.2744500   0.1930714 0.1341500 0.2744500   0.1930714 0.1341500 0.2744500    0.0776197 0.0000000 0.1118380    0.0776197 0.0000000 0.1118380    0.0776197 0.0000000 0.1118380    0.7186892 0.4767717 1.0000000   0.7186892 0.4767717 1.0000000   0.7186892 0.4767717 1.0000000    3.7968571 1.5200000 6.7070000    3.7968571 1.5200000 6.7070000    3.7968571 1.5200000 6.7070000     0.0330000 0.0100000 0.0600000    0.0330000 0.0100000 0.0600000    0.0330000 0.0100000 0.0600000       0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000    0.0000000 0.0000000 0.0000000                       8.4376920   0.7724112 0.4767717   0.0000000 0.4088077    1.0321159 0.1576453    0.0843769 0.2951655   1.0321159 0.0843769   5.8929852 1.1698113
2.2750000 12.0000000      0.3045000 3.0670000 2.3200000 0.4000000   0.3027093 0.1110274    35 3    0.2070000 0.1341500 0.3045000   0.2070000 0.1341500 0.3045000   0.2070000 0.1341500 0.3045000    0.0817957 0.0000000 0.1118380    0.0817957 0.0000000 0.1118380    0.0817957 0.0000000 0.1118380    0.6825682 0.4297209 1.0000000   0.6825682 0.4297209 1.0000000   0.6825682 0.4297209 1.0000000    3.7056250 1.5200000 6.7070000    3.7056250 1.5200000 6.7070000    3.7056250 1.5200000 6.7070000     0.0373750 0.0100000 0.0680000    0.0373750 0.0100000 0.0680000    0.0373750 0.0100000 0.0680000       0.0087500 0.0000000 0.0700000    0.0087500 0.0000000 0.0700000    0.0087500 0.0000000 0.0700000                       7.9383546   0.7723347 0.4297209   0.0097489 0.3179930    1.0563600 0.1749978    0.0891324 0.2901720   1.0563600 0.0891324   3.6175557 0.9516129
2.2850000 12.0000000      0.3113600 1.1810000 2.3200000 0.4000000   0.2960410 0.1161850    35 3    0.2185956 0.1341500 0.3113600   0.2185956 0.1341500 0.3113600   0.2185956 0.1341500 0.3113600    0.0856167 0.0000000 0.1161850    0.0856167 0.0000000 0.1161850    0.0856167 0.0000000 0.1161850    0.6534221 0.4202531 1.0000000   0.6534221 0.4202531 1.0000000   0.6534221 0.4202531 1.0000000    3.4251111 1.1810000 6.7070000    3.4251111 1.1810000 6.7070000    3.4251111 1.1810000 6.7070000     0.0407778 0.0100000 0.0680000    0.0407778 0.0100000 0.0680000    0.0407778 0.0100000 0.0680000       0.0255556 0.0000000 0.1600000    0.0255556 0.0000000 0.1600000    0.0255556 0.0000000 0.1600000                       7.1775635   0.7725640 0.4202531   0.0198002 0.0000000    1.0274132 0.2357313    0.0915758 0.3047616   1.0274132 0.0915758   1.9709931 0.7627119
2.2950000 12.0000000      0.3202100 1.4010000 2.3600000 0.4000000   0.2878534 0.1157191    35 3    0.2287570 0.1341500 0.3202100   0.2287570 0.1341500 0.3202100   0.2287570 0.1341500 0.3202100    0.0886270 0.0000000 0.1161850    0.0886270 0.0000000 0.1161850    0.0886270 0.0000000 0.1161850    0.6289437 0.4086381 1.0000000   0.6289437 0.4086381 1.0000000   0.6289437 0.4086381 1.0000000    3.2227000 1.1810000 6.7070000    3.2227000 1.1810000 6.7070000    3.2227000 1.1810000 6.7070000     0.0435000 0.0100000 0.0680000    0.0435000 0.0100000 0.0680000    0.0435000 0.0100000 0.0680000       0.0490000 0.0000000 0.2600000    0.0490000 0.0000000 0.2600000    0.0490000 0.0000000 0.2600000                       6.4600124   0.7701949 0.4086381   0.0289587 0.0000000    1.0216541 0.3284126    0.0935588 0.3067664   1.0216541 0.0935588   0.9012121 0.7333333
2.3060000 12.0000000      0.3218400 0.6690000 2.3600000 0.4000000   0.2737626 0.1075611    35 3    0.2475260 0.1624200 0.3218400   0.2372191 0.1341500 0.3218400   0.2372191 0.1341500 0.3218400    0.0993831 0.0398830 0.1161850    0.0903482 0.0000000 0.1161850    0.0903482 0.0000000 0.1161850    0.5696005 0.4065685 0.8259451   0.6087277 0.4065685 1.0000000   0.6087277 0.4065685 1.0000000    2.6189000 0.6690000 4.7230000    2.9905455 0.6690000 6.7070000    2.9905455 0.6690000 6.7070000     0.0491000 0.0170000 0.0680000    0.0455455 0.0100000 0.0680000    0.0455455 0.0100000 0.0680000       0.0820000 0.0000000 0.3300000    0.0745455 0.0000000 0.3300000    0.0745455 0.0000000 0.3300000                       6.2750495   0.7701949 0.4065685   0.0333995 0.1366613    1.0276954 0.3275814    0.0961500 0.2797595   1.0276954 0.0961500   0.6080764 1.0303030
